Team,Odds,Division
Buffalo Bills,-230,AFC East
,,
Miami Dolphins,450,AFC East
,,
New England Patriots,500,AFC East
,,
New York Jets,2000,AFC East
Baltimore Ravens,145,AFC North
,,
Cincinnati Bengals,165,AFC North
,,
Cleveland Browns,400,AFC North
,,
Pittsburgh Steelers,950,AFC North
Indianapolis Colts,-140,AFC South
,,
Tennessee Titans,185,AFC South
,,
Jacksonville Jaguars,750,AFC South
,,
Houston Texans,2500,AFC South
Kansas City Chiefs,165,AFC West
,,
Los Angeles Chargers,220,AFC West
,,
Denver Broncos,260,AFC West
,,
Las Vegas Raiders,650,AFC West
Philadelphia Eagles,130,NFC East
,,
Dallas Cowboys,155,NFC East
,,
Washington Commanders,600,NFC East
,,
New York Giants,800,NFC East
Green Bay Packers,-155,NFC North
,,
Minnesota Vikings,240,NFC North
,,
Detroit Lions,950,NFC North
,,
Chicago Bears,1200,NFC North
Tampa Bay Buccaneers,-230,NFC South
,,
New Orleans Saints,300,NFC South
,,
Carolina Panthers,1000,NFC South
,,
Atlanta Falcons,3200,NFC South
Los Angeles Rams,125,NFC West
,,
San Francisco 49ers,165,NFC West
,,
Arizona Cardinals,370,NFC West
,,
Seattle Seahawks,2000,NFC West